code,token,surprisal,mean_rt
17191,with,7.28026,336.08411764705886
17193,Chandler,14.9205,477.98470588235296
17194,is,7.90062,294.91058823529414
17195,the,4.53636,244.48
17197,of,1.69705,344.65647058823527
17198,the,3.58934,265.62529411764706
17201,The,2.68215,268.8488235294118
17202,truth,16.3123,276.8194117647059
17205,that,6.1654,310.7005882352941
17206,when,9.27215,285.2035294117647
17207,Mel,18.3211,251.26823529411763
17208,Chandler,15.0344,293.81
17209,first,12.2401,331.5241176470588
17210,reported,10.7772,278.8552941176471
17211,to,6.40879,293.72235294117644
17212,the,4.68322,281.915294117647
17214,the,6.6718,271.86117647058825
17215,only,9.85523,291.6058823529412
17217,he,11.7415,411.5005882352941
17218,had,5.1987,320.2841176470588
17219,ever,9.12806,301.9823529411765
17221,was,9.00098,326.6594117647059
17222,a,3.83704,270.39235294117645
17224,chair,15.6134,311.00529411764705
17225,and,5.42282,329.91
17226,the,4.5622,332.91823529411766
17227,only,10.2807,295.0
17228,weapon,16.2606,281.7664705882353
17229,he,10.5315,269.33411764705886
17230,had,5.1987,241.23941176470586
17231,ever,9.12806,274.8264705882353
17233,was,9.00098,272.37
17234,a,3.83704,271.2535294117647
17236,Chandler,15.5374,283.47235294117644
17237,had,9.47528,324.8241176470588
17238,been,3.18334,267.46352941176474
17239,commissioned,16.0052,418.04470588235296
17240,in,7.26935,319.58411764705886
17241,the,2.68569,254.70823529411766
17242,Medical,15.7046,300.0335294117647
17243,Service,7.38966,293.2188235294118
17244,Corps,8.00778,280.1382352941177
17245,and,6.76455,275.54352941176467
17246,was,8.48828,254.66117647058823
17247,serving,15.5518,275.52764705882356
17248,as,4.34542,247.2435294117647
17249,a,3.23962,248.36058823529413
17250,personnel,15.0441,350.8
17251,officer,13.9133,316.9235294117647
17252,for,6.36649,275.57176470588234
17253,the,2.94963,273.5
17254,Kansas,13.8009,289.6329411764706
17255,City,2.42276,438.6117647058823
17256,Medical,15.4734,283.96999999999997
17257,Depot,17.4153,297.40176470588233
17258,when,9.93381,328.5641176470588
17259,he,4.13385,298.4852941176471
17260,decided,9.91899,310.97705882352943
17261,that,4.33454,332.52176470588233
17262,if,7.46671,268.0811764705882
17263,he,5.20417,285.79352941176467
17264,was,5.31173,253.43411764705883
17265,going,8.98327,256.4052941176471
17266,to,1.35473,251.55
17267,make,5.94323,245.12176470588233
17268,the,3.98174,285.285294117647
17269,Army,11.957,351.4294117647059
17270,his,9.65034,265.63352941176475
17272,he,11.7395,320.3458823529412
17273,wanted,7.35505,264.25470588235294
17274,to,0.9939,235.0629411764706
17275,be,6.15069,263.3076470588235
17276,in,6.58681,284.4858823529412
17277,the,3.06679,264.21235294117645
17278,fighting,15.7001,306.8547058823529
17279,part,11.9702,268.96294117647057
17280,of,0.774507,239.14176470588234
17282,Though,9.43342,247.70294117647057
17283,he,5.27946,279.3947058823529
17284,knew,10.5236,309.79352941176467
17285,no,11.4726,273.94176470588235
17286,more,5.03656,240.1770588235294
17287,about,9.71759,235.97823529411767
17288,military,13.5416,277.5670588235294
17289,science,15.306,269.0523529411765
17290,and,5.87028,280.48117647058825
17291,tactics,14.82,289.2758823529412
17292,than,10.374,282.47352941176473
17293,any,5.94338,262.97058823529414
17294,other,1.25937,272.68823529411765
17295,desk,15.5099,243.63647058823528
17297,he,11.7415,387.16058823529414
17298,managed,12.229,304.28882352941173
17299,to,1.24849,266.4182352941176
17300,get,7.03624,260.1205882352941
17301,transferred,15.4026,262.3058823529412
17302,to,1.46525,260.0876470588235
17303,the,4.73068,262.7647058823529
17304,combat,16.1425,258.67999999999995
17306,The,2.68215,242.89823529411768
17307,next,9.89292,251.0623529411765
17308,thing,10.6228,254.51058823529414
17309,he,10.8573,258.7529411764706
17310,knew,10.5236,260.6223529411765
17311,he,4.84292,301.47117647058826
17312,was,4.78926,270.3347058823529
17313,reporting,11.9459,238.3205882352941
17314,for,7.5836,256.54294117647055
17315,duty,14.5139,272.21705882352944
17316,as,8.35572,245.05235294117648
17317,commanding,17.9862,285.53058823529415
17318,officer,2.57989,284.84999999999997
17319,of,2.8577,294.3882352941177
17324,in,6.01697,302.80176470588236
17325,the,3.04098,280.2752941176471
17326,middle,9.29775,256.69823529411764
17327,of,0.334481,265.49176470588236
17328,corps,18.3515,231.44058823529411
17329,maneuvers,17.307,384.76529411764704
17330,in,6.75646,304.7252941176471
17332,Outside,13.1034,334.13352941176475
17333,of,6.96483,304.68823529411765
17335,he,12.006,285.55999999999995
17337,have,8.8319,286.88
17338,landed,16.4861,294.0323529411765
17339,in,3.42789,259.6205882352941
17340,a,4.48337,243.45529411764704
17341,tougher,16.2101,302.1294117647059
17343,First,9.2237,327.71
17344,of,9.84188,283.04352941176467
17346,no,14.0792,259.47823529411767
17347,unit,11.4382,256.80823529411765
17348,likes,15.93,265.2658823529412
17349,to,2.66709,246.88647058823528
17350,have,7.30558,285.6623529411765
17351,a,2.94855,272.7505882352941
17352,new,6.81924,238.99
17354,brought,13.9346,370.92
17355,in,1.42276,607.4523529411765
17356,from,11.3455,291.4511764705882
17357,the,1.47446,260.01882352941175
17359,especially,13.6575,351.46
17360,when,6.85787,273.5076470588235
17362,an,9.51068,268.2735294117647
17366,if,10.7135,269.9958823529412
17367,there,5.661,257.10764705882355
17368,is,2.27227,242.98470588235293
17369,ever,15.5136,261.8264705882353
17370,a,7.6486,256.32176470588234
17371,perfect,13.898,250.52
17372,time,11.394,264.6276470588235
17373,to,3.54992,252.22058823529412
17374,pull,12.2877,251.13941176470587
17375,the,6.11905,253.96470588235292
17377,out,9.43024,266.92294117647054
17378,from,9.5369,265.55411764705883
17379,under,13.6873,243.56705882352944
17382,on,8.22744,262.55117647058825
17384,In,4.57937,295.75470588235294
17386,helping,14.5581,311.97764705882355
17387,your,12.3062,268.1170588235294
17389,make,13.8706,342.92176470588237
17390,a,4.18413,311.88529411764705
17391,fool,17.2659,277.90588235294115
17392,of,6.98915,268.2982352941176
17393,himself,13.1971,270.1652941176471
17394,might,11.5259,339.8794117647059
17395,mean,14.6012,246.08705882352945
17396,getting,12.8575,289.55823529411765
17397,yourself,16.2159,264.4117647058824
17399,But,4.58894,272.3376470588235
17400,in,5.18334,271.5247058823529
17402,with,7.78906,269.9270588235294
17403,the,2.4866,267.87470588235294
17404,top,10.1389,256.39941176470586
17405,brass,9.48023,288.40000000000003
17406,watching,14.0175,339.57529411764705
17407,him,6.91759,304.56235294117647
17408,all,11.0148,282.99117647058824
17409,the,3.09318,244.79117647058823
17413,Chandler,15.5374,330.3276470588235
17414,understood,15.5401,328.0423529411765
17415,this,9.68982,311.2594117647059
17416,and,7.8743,268.35764705882355
17417,expected,12.8368,312.4094117647059
17418,the,5.25598,328.7905882352941
17420,But,4.58894,288.61
17421,his,7.98708,241.35411764705884
17422,first,6.49406,245.91176470588235
17423,few,10.875,248.60411764705884
17424,days,5.636,244.06176470588235
17425,with,7.28043,256.46294117647057
17427,H,17.2583,252.07705882352943
17428,were,9.20647,275.76529411764704
17429,full,12.6595,293.6276470588235
17430,of,3.8708,307.99764705882353
17432,beginning,15.7846,339.74470588235295
17433,with,5.90182,323.15588235294115
17434,First,10.532,251.35
17436,Robert,12.9535,325.19588235294117
17438,Chandler,15.5374,280.46294117647057
17439,had,9.47528,263.0211764705882
17440,expected,7.09691,270.84529411764703
17441,a,2.75457,259.36823529411765
17442,tough,10.3892,289.0105882352941
17443,old,13.4779,260.41352941176467
17445,with,7.28026,254.69882352941178
17446,a,3.7548,255.80411764705883
17449,Instead,9.2237,285.80999999999995
17451,Early,16.5628,267.42823529411766
17452,was,8.41962,299.2394117647059
17454,sharp,13.627,304.6529411764706
17455,and,6.30236,252.03058823529415
17457,He,5.6328,300.74470588235295
17458,had,6.39844,264.9123529411765
17459,enlisted,18.5995,301.2835294117647
17460,in,6.75918,276.5794117647059
17461,the,2.68569,254.7370588235294
17462,Army,12.742,253.17235294117648
17463,straight,14.5315,252.23176470588237
17464,out,9.9635,255.9294117647059
17465,of,2.11625,238.67470588235292
17466,high,11.3513,233.9858823529412
17467,school,7.4422,256.4517647058824
17468,and,5.68218,235.1058823529412
17469,had,8.99943,252.55
17470,immediately,13.8613,273.73
17471,set,12.0356,267.11117647058825
17472,about,9.6216,248.58588235294118
17473,learning,15.8819,263.9729411764706
17474,his,9.80664,244.9558823529412
17475,new,7.62957,244.19823529411764
17477,There,7.85717,250.7364705882353
17478,was,3.6777,258.58235294117645
17479,no,2.55555,241.78764705882355
17480,weapon,16.1204,253.01941176470586
17481,Early,16.9754,241.72411764705885
17482,could,9.71677,248.01058823529414
17483,not,6.42524,311.8788235294118
17484,take,11.2015,300.1835294117647
17485,apart,14.7189,258.2405882352941
17486,and,6.94918,240.81411764705882
17489,He,5.6328,313.81529411764706
17490,could,6.94459,242.2005882352941
17491,lead,7.09556,275.16411764705884
17492,a,6.29827,318.1117647058823
17493,patrol,18.1851,251.98
17494,and,6.40841,272.51882352941175
17495,he,10.4645,303.39882352941174
17496,knew,10.5366,286.86117647058825
17497,his,9.82712,258.88941176470587
17498,paper,12.6396,274.05823529411765
17501,he,12.1491,274.08705882352945
17502,had,5.1987,276.5711764705882
17503,taken,7.21014,250.34705882352938
17504,full,13.4988,262.7394117647059
17505,advantage,14.2192,280.31
17506,of,2.44246,259.08647058823533
17507,the,3.25207,272.24882352941177
17509,correspondence,16.9732,321.7752941176471
17511,He,5.6328,268.5676470588235
17512,not,11.4407,347.60117647058826
17513,only,4.60175,295.38352941176475
17514,knew,14.7107,270.54352941176467
17516,but,10.8521,356.19529411764705
17518,history,13.9632,356.82588235294116
17519,and,4.87654,310.54764705882354
17520,literature,15.5535,329.80176470588236
17521,as,8.2469,290.6311764705883
17523,But,4.58894,303.87117647058824
17524,for,7.16579,297.67823529411766
17525,all,6.79112,275.6452941176471
17526,his,8.75927,254.28176470588235
17530,Early,16.9816,330.01352941176475
17531,was,8.41962,269.82176470588234
17532,right,9.42294,277.31470588235294
17533,out,10.661,282.1464705882353
17534,of,2.11625,251.36647058823533
17535,the,2.05058,265.4864705882353
17538,He,5.6328,297.7217647058824
17539,was,4.8669,259.7017647058824
17540,filled,11.8865,281.16705882352943
17541,with,1.64945,270.6223529411765
17542,the,3.18092,244.95941176470592
17543,spirit,16.8058,257.8376470588235
17544,of,5.42282,259.3947058823529
17545,the,3.44768,248.25235294117647
17548,That,6.63727,259.9435294117647
17549,saved,16.8551,293.1941176470588
17550,Mel,17.4625,249.21058823529413
17553,Early,16.9704,268.87
17554,let,13.8478,247.3558823529412
17555,the,2.939,270.89882352941174
17556,new,8.32634,240.2835294117647
17558,know,15.5966,270.2470588235294
17559,just,9.21132,259.97823529411767
17560,how,6.42431,352.3629411764706
17561,lucky,16.1273,266.25176470588235
17562,he,5.77074,237.80352941176469
17563,was,4.78926,239.70235294117649
17564,to,6.14819,234.54647058823528
17565,be,2.84433,256.5311764705882
17566,in,6.79279,233.62529411764706
17567,the,3.06679,233.3541176470588
17568,best,9.65626,226.48
17569,troop,17.5022,271.85705882352937
17570,in,7.26562,237.46235294117648
17571,the,2.68569,241.1070588235294
17572,best,9.55062,236.86411764705883
17574,in,6.069,256.5170588235294
17575,the,2.57667,238.17176470588237
17576,United,11.159,251.5241176470588
17577,States,2.27436,263.45235294117646
17579,He,5.6328,347.6235294117647
17580,fed,16.7951,251.1735294117647
17581,the,7.87292,305.60705882352937
17582,captain,17.4907,259.2605882352941
17583,bits,17.2955,270.2288235294118
17584,of,3.54835,249.82470588235296
17585,history,11.9851,257.03705882352943
17586,about,10.0601,244.63941176470587
17587,the,3.29195,252.95705882352945
17588,troops,16.7161,256.56882352941176
17589,and,6.66492,263.3129411764706
17590,the,4.5622,260.0147058823529
17592,For,6.51944,247.58176470588236
17594,it,9.60077,259.40470588235297
17595,was,5.39932,298.7747058823529
17596,a,4.38094,238.94176470588238
17598,of,4.48262,333.7423529411765
17599,the,3.43402,266.1723529411765
17602,under,9.00611,247.39117647058822
17604,George,13.0086,261.324705882353
17605,Armstrong,16.0564,281.56235294117647
17607,that,7.50105,358.60411764705884
17608,had,7.34163,285.8241176470588
17609,been,2.19471,298.00529411764705
17610,wiped,16.2114,246.48941176470586
17611,out,0.342921,254.19117647058823
17612,at,6.32462,246.65823529411762
17613,the,4.23012,228.48117647058822
17614,Battle,17.0959,238.88117647058823
17615,of,7.15214,243.92411764705884
17616,The,11.9851,263.54
17617,Little,14.0311,269.49176470588236
17618,Big,14.0861,262.0894117647059
17620,It,5.65274,298.1582352941176
17622,take,13.8842,271.5876470588235
17624,Chandler,14.729,308.5664705882353
17625,long,12.7339,247.15352941176468
17626,to,6.78048,262.1776470588235
17627,realize,10.7114,256.31529411764706
17628,that,3.09725,264.31529411764706
17629,he,5.54394,358.88470588235293
17630,had,3.35892,248.92588235294116
17631,to,4.8897,239.9858823529412
17632,carry,10.1008,258.6705882352941
17633,a,3.95653,259.7752941176471
17634,heavy,11.3053,263.0558823529412
17635,load,14.797,259.7435294117647
17636,of,3.78909,255.19411764705885
17637,tradition,15.2395,281.8588235294118
17638,on,8.55618,251.0676470588235
17639,his,7.06285,233.0276470588235
17640,shoulders,17.7391,244.35941176470587
17641,as,8.20221,262.7988235294118
17642,commander,17.9862,242.69705882352943
17643,of,7.51522,245.19529411764705
17645,A.,13.218,287.9676470588235
17646,But,16.2296,333.04470588235296
17647,what,9.13448,352.0623529411764
17648,made,11.8793,289.1364705882353
17649,the,4.21242,255.03764705882355
17650,load,16.7256,277.0035294117647
17651,lighter,16.0314,267.71352941176474
17652,was,8.41043,282.5994117647059
17653,the,4.87762,271.8882352941177
17654,realization,18.3442,266.3623529411765
17655,that,1.84292,257.5735294117647
17656,every,11.2843,230.74705882352941
17659,and,5.00457,457.5670588235294
17661,was,9.29369,318.3770588235294
17662,ready,12.1139,284.4035294117647
17663,and,7.05085,256.4464705882353
17664,willing,13.9179,350.545294117647
17665,to,0.543945,278.8776470588235
17666,help,7.77412,260.3205882352941
17667,him,5.28182,258.7576470588235
17668,carry,15.0024,270.1994117647059
17670,for,6.89114,260.6829411764706
17671,the,2.91632,257.0811764705882
17672,good,11.0522,246.56294117647056
17673,of,1.68939,233.5441176470588
17674,the,3.44768,234.6794117647059
17675,troop,16.8322,249.28941176470587
17676,and,6.96396,259.9729411764706
17677,the,4.5622,243.33882352941177
18501,was,9.13165,360.77523809523814
18502,a,4.0697,273.41380952380956
18503,complex,11.6457,266.82
18504,and,4.60665,278.65333333333336
18505,frightening,16.5336,335.0309523809524
18507,whose,15.5201,299.34761904761905
18508,bright,15.3328,359.1328571428571
18509,blue,14.7887,324.2057142857143
18510,eyes,6.21132,284.3980952380952
18512,with,7.28026,415.7728571428571
18513,a,3.7548,364.90333333333336
18514,kind,11.8051,324.6490476190476
18515,of,0.769769,303.23809523809524
18516,frozen,15.879,286.56428571428575
18518,into,9.06367,325.77238095238096
18520,He,5.6328,277.70714285714286
18521,had,6.39844,276.82238095238097
18522,a,4.9881,254.2390476190476
18524,frank,17.1347,274.70428571428573
18525,Irish,15.4078,331.84285714285716
18528,in,5.80341,433.1304761904762
18529,a,3.87311,299.31142857142856
18532,that,6.06951,299.8542857142857
18533,stayed,15.4532,316.2133333333333
18535,in,5.9754,343.8066666666667
18536,place,9.62071,325.40999999999997
18537,even,11.6621,405.35190476190473
18538,when,5.93179,286.4323809523809
18539,he,4.45588,267.11285714285714
18540,was,2.70338,274.99142857142857
18541,pumping,17.0879,417.74333333333334
18542,bullets,17.3398,365.4552380952381
18543,into,9.68571,316.95285714285717
18546,He,5.6328,281.1114285714286
18547,carried,15.316,312.3333333333333
18548,three,11.8941,290.44714285714286
18549,guns,16.7478,272.9014285714286
18550,one,7.58365,303.25428571428574
18551,in,6.11007,269.57095238095235
18552,the,3.05943,262.6
18553,right,9.65172,352.90523809523813
18556,one,11.2097,304.802380952381
18557,under,10.6798,278.86285714285714
18558,his,7.05824,302.9871428571428
18559,left,12.6898,293.0447619047619
18561,one,10.8521,358.1252380952381
18562,in,5.90201,308.992380952381
18563,the,3.05943,247.22285714285715
18564,left,14.8434,302.5133333333333
18565,outside,12.5765,334.6061904761905
18566,coat,17.8469,393.0609523809524
18567,pocket,16.8057,437.3285714285714
18568,and,3.88588,335.87619047619046
18569,was,8.65907,301.2590476190476
18570,equally,16.3216,273.1580952380952
18571,lethal,17.3054,332.9709523809523
18572,with,8.31522,283.8747619047619
18573,both,9.82368,274.3385714285714
18575,He,5.6328,270.3390476190476
18576,killed,15.8342,317.59714285714284
18579,and,5.00457,306.8019047619048
18581,The,2.68215,305.4638095238095
18582,police,14.3715,303.7604761904762
18583,credited,15.4511,348.30285714285714
18584,him,11.4926,351.2404761904762
18585,with,6.00387,298.04285714285714
18587,murders,16.7744,364.1257142857143
18588,but,10.5843,325.7690476190476
18589,he,8.31275,290.0080952380952
18590,was,4.87935,274.62666666666667
18591,never,8.59724,284.92238095238093
18592,brought,13.2486,296.61
18593,to,4.23335,332.6247619047619
18594,trial,12.6354,269.95428571428573
18595,for,8.86742,263.3657142857143
18596,one,7.877,251.19619047619048
18597,of,3.47446,287.16857142857145
18599,Like,9.93886,282.03857142857146
18600,a,7.14562,256.6357142857143
18601,fair,11.464,271.0233333333333
18602,number,13.0482,293.6257142857143
18603,of,1.16726,273.1638095238095
18605,he,12.006,413.79714285714283
18608,He,5.6328,499.37190476190483
18609,was,4.8669,359.49
18610,an,6.65038,304.38571428571424
18611,expert,9.87915,330.4947619047619
18615,in,5.86469,382.77
18616,the,3.04098,301.5957142857143
18617,arrangement,17.4455,318.1928571428572
18618,of,7.11023,288.8090476190476
18620,and,4.34672,299.9009523809524
18622,He,5.6328,296.5057142857143
18623,had,6.39844,286.71285714285716
18624,no,6.84409,302.81904761904764
18625,apparent,15.264,336.94190476190477
18627,of,5.83894,374.0395238095238
18629,he,12.0231,563.4495238095238
18630,divided,15.6143,390.4533333333334
18631,humanity,17.5597,394.2133333333333
18632,into,9.87083,347.94666666666666
18635,and,5.00457,326.0242857142857
18638,and,5.07448,295.10285714285715
18639,the,4.82578,268.28666666666663
18640,wrong,11.2085,313.6419047619048
18641,ones,14.0393,319.68
18642,he,11.2636,295.4866666666667
18643,was,4.78926,288.4742857142857
18644,always,11.0847,284.53761904761905
18645,willing,8.50255,290.8809523809524
18646,to,0.543945,277.25714285714287
18647,kill,10.6122,282.8566666666667
18648,and,7.18421,353.5809523809524
18651,He,5.6328,298.75428571428574
18652,had,6.39844,349.25333333333333
18653,what,12.4991,279.82666666666665
18654,was,5.56796,300.3857142857143
18655,described,12.0094,302.2528571428572
18656,by,5.34542,292.56904761904764
18657,a,4.19672,266.1333333333333
18658,psychologist,15.8519,291.6771428571429
18659,as,8.22032,319.0828571428571
18660,a,3.23962,269.8757142857143
18663,He,5.6328,288.40761904761905
18664,walked,16.9554,310.752380952381
18665,with,8.28716,328.85285714285715
18666,a,3.59166,285.72142857142853
18667,heavy,9.16086,342.22857142857146
18668,list,13.869,272.40523809523813
18669,to,7.3741,330.96238095238095
18670,the,4.48029,276.1585714285714
18672,as,7.95793,379.3690476190476
18673,that,10.3517,375.4061904761905
18674,leg,15.9592,411.0752380952381
18675,was,8.42698,312.37285714285713
18676,four,13.5624,293.26095238095235
18677,inches,15.3704,309.75428571428574
18678,shorter,16.4845,333.5909523809524
18679,than,4.54835,339.5995238095238
18680,the,3.84366,292.38619047619045
18682,but,10.9366,282.5204761904762
18683,the,5.9996,331.3938095238095
18685,did,13.0055,560.6709523809524
18686,not,3.90367,365.68904761904764
18687,reduce,14.3385,316.42238095238093
18688,his,10.117,326.1333333333333
18691,with,7.79957,400.1519047619048
18692,his,5.5126,326.5785714285714
18695,thought,14.2223,406.4214285714286
18696,him,11.7746,326.60714285714283
18698,a,7.4168,321.5361904761905
18699,superior,12.4209,304.21238095238095
18700,sort,14.1943,366.26095238095235
18701,of,1.34957,295.4
18703,but,11.1165,598.3680952380952
18704,he,8.31275,373.8857142857143
18706,in,6.13413,281.77761904761905
18708,with,7.66525,280.49523809523805
18709,his,5.5126,278.7033333333334
18711,and,4.34754,462.8028571428572
18713,and,6.46461,371.5695238095238
18715,indifference,17.4105,463.5609523809524
18716,to,3.54835,347.2166666666667
18717,risking,17.9537,346.6119047619048
18718,or,8.86325,356.03190476190474
18721,a,10.1286,419.18380952380954
18724,He,5.6328,361.7309523809524
18725,was,4.8669,307.5057142857143
18726,also,7.13545,302.5104761904762
18727,at,10.7438,280.37666666666667
18728,this,6.61814,279.13142857142856
18730,although,14.5276,341.937619047619
18731,not,11.0408,290.4085714285714
18732,so,7.12663,287.25380952380954
18734,in,5.99838,354.85285714285715
18735,high,13.8346,414.8090476190476
18736,politics,14.2573,397.33190476190475
18737,and,6.96339,314.3485714285714
18738,the,4.5622,311.63190476190476
18740,as,7.91498,337.32761904761907
18742,and,4.54236,344.43857142857144
18744,the,6.16037,338.6195238095238
18745,most,8.8704,398.35
18746,powerful,8.92844,352.5828571428571
18747,and,4.66709,302.1657142857143
18748,most,9.36565,353.43571428571425
18749,dangerous,11.0794,367.79857142857145
18750,mob,17.4305,278.5195238095238
18751,leader,12.8466,293.8857142857143
18752,in,4.07472,274.45476190476194
18753,the,2.36755,254.1242857142857
18754,Chicago,12.1494,265.08190476190475
18756,the,6.52863,363.2038095238095
20002,back,10.9237,316.21214285714285
20003,and,4.88343,281.36285714285714
20004,customers,11.619,391.515
20005,hastily,16.7883,347.99642857142857
20006,vacated,16.0842,325.65000000000003
20007,their,10.0779,342.9871428571428
20008,tables,15.4138,294.56714285714287
20009,as,8.43157,275.34785714285715
20010,the,4.02566,236.55785714285713
20011,tall,17.2678,252.11714285714285
20012,young,13.5453,360.79
20015,pushed,14.0586,267.785
20016,open,12.8836,280.23
20017,the,4.74283,256.8771428571428
20018,swing,16.8635,283.06357142857144
20019,doors,15.0373,261.9842857142857
20020,and,6.51243,251.40714285714284
20021,walked,15.2557,240.8457142857143
20022,towards,16.4624,289.7214285714286
20023,the,7.23425,241.39071428571427
20025,Only,9.80304,256.55
20026,Blue,16.2925,222.93142857142857
20028,and,5.48786,309.86785714285713
20029,his,7.28809,232.91214285714287
20030,gang,17.4952,239.8957142857143
20031,stayed,15.1546,298.51000000000005
20032,where,11.7837,286.5435714285714
20033,they,5.01782,265.64785714285716
20035,Blue,14.6762,293.89142857142855
20037,was,9.00098,270.7885714285714
20038,slumped,16.5201,325.1478571428571
20039,with,8.34993,371.2292857142857
20040,his,6.26318,295.92785714285714
20041,back,12.567,480.3371428571428
